<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,17/09/18,10:01,108230.0000000,108380.0000000,108000.0000000,108110.0000000,124
SPFB.RTS-12.18,1,17/09/18,10:02,108110.0000000,108110.0000000,107960.0000000,108010.0000000,137
SPFB.RTS-12.18,1,17/09/18,10:03,108010.0000000,108070.0000000,107960.0000000,107960.0000000,122
SPFB.RTS-12.18,1,17/09/18,10:04,107950.0000000,108080.0000000,107950.0000000,108060.0000000,110
SPFB.RTS-12.18,1,17/09/18,10:05,108060.0000000,108150.0000000,108040.0000000,108080.0000000,63
SPFB.RTS-12.18,1,17/09/18,10:06,108070.0000000,108070.0000000,107930.0000000,107930.0000000,87
SPFB.RTS-12.18,1,17/09/18,10:07,107960.0000000,107960.0000000,107650.0000000,107740.0000000,389
SPFB.RTS-12.18,1,17/09/18,10:08,107760.0000000,107880.0000000,107760.0000000,107810.0000000,95
SPFB.RTS-12.18,1,17/09/18,10:09,107830.0000000,107920.0000000,107830.0000000,107920.0000000,51
SPFB.RTS-12.18,1,17/09/18,10:10,107900.0000000,107920.0000000,107810.0000000,107920.0000000,95
SPFB.RTS-12.18,1,17/09/18,10:11,107940.0000000,107940.0000000,107790.0000000,107820.0000000,68
SPFB.RTS-12.18,1,17/09/18,10:12,107820.0000000,107820.0000000,107770.0000000,107820.0000000,78
SPFB.RTS-12.18,1,17/09/18,10:13,107820.0000000,107890.0000000,107800.0000000,107840.0000000,28
SPFB.RTS-12.18,1,17/09/18,10:14,107860.0000000,107960.0000000,107860.0000000,107940.0000000,23
SPFB.RTS-12.18,1,17/09/18,10:15,107930.0000000,107930.0000000,107800.0000000,107870.0000000,42
SPFB.RTS-12.18,1,17/09/18,10:16,107820.0000000,107850.0000000,107780.0000000,107800.0000000,30
SPFB.RTS-12.18,1,17/09/18,10:17,107770.0000000,107830.0000000,107750.0000000,107790.0000000,13
SPFB.RTS-12.18,1,17/09/18,10:18,107780.0000000,107860.0000000,107720.0000000,107860.0000000,58
SPFB.RTS-12.18,1,17/09/18,10:19,107890.0000000,107930.0000000,107890.0000000,107930.0000000,9
SPFB.RTS-12.18,1,17/09/18,10:20,107860.0000000,107900.0000000,107820.0000000,107890.0000000,23
