?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
02B,0200,02B,0000,000,0000,000,0000,0000,004,0100
02B,0200,02C,0200,02B,0200,000,002B,0000,004,0100
02C,0280,02D,0280,02C,0280,000,002C,FFFF,008,1000
02D,2051,02E,2051,051,2025,000,002D,2025,000,0000
02E,2052,02F,2052,052,E053,000,002E,2001,000,0000
02F,E053,030,E053,053,2001,000,002F,2001,000,0000,053,2001
030,A026,031,A026,026,A027,000,0030,A027,008,1000
031,4053,032,4053,053,2001,000,0031,C028,008,1000
032,E053,033,E053,053,C028,000,0032,C028,008,1000,053,C028
033,0200,034,0200,033,0200,000,0033,0000,004,0100
034,0280,035,0280,034,0280,000,0034,FFFF,008,1000
035,2025,036,2025,025,202A,000,0035,202A,000,0000
036,3053,037,3053,053,C028,000,1FD5,E02A,008,1000
037,E053,038,E053,053,E02A,000,0037,E02A,008,1000,053,E02A
038,0200,039,0200,038,0200,000,0038,0000,004,0100
039,6029,03A,6029,029,E053,000,0039,1FAD,000,0000
03A,4053,03B,4053,053,E02A,000,003A,FFD7,008,1000
03B,E053,03C,E053,053,FFD7,000,003B,FFD7,008,1000,053,FFD7
03C,0200,03D,0200,03C,0200,000,003C,0000,004,0100
03D,0280,03E,0280,03D,0280,000,003D,FFFF,008,1000
03E,202A,03F,202A,02A,3053,000,003E,3053,000,0000
03F,3053,040,3053,053,FFD7,000,0028,FFD7,008,1000
040,E053,041,E053,053,FFD7,000,0040,FFD7,008,1000,053,FFD7
041,0200,042,0200,041,0200,000,0041,0000,004,0100
042,4050,043,4050,050,6053,000,0042,6053,000,0000
043,6053,044,6053,053,FFD7,000,0043,607C,000,0000
044,E053,045,E053,053,607C,000,0044,607C,000,0000,053,607C
045,A027,046,A027,027,0200,000,0045,0200,000,0000
046,3053,047,3053,053,607C,000,9D83,627C,000,0000
047,E053,048,E053,053,627C,000,0047,627C,000,0000,053,627C
048,0200,049,0200,048,0200,000,0048,0000,004,0100
049,4028,04A,4028,028,4028,000,0049,4028,000,0000
04A,6053,04B,6053,053,627C,000,004A,DDAC,008,1000
04B,E053,04C,E053,053,DDAC,000,004B,DDAC,008,1000,053,DDAC
04C,A024,04D,A024,024,0200,000,004C,0200,000,0000
04D,3053,04E,3053,053,DDAC,000,2053,DFAC,008,1000
04E,E023,04F,E023,023,DFAC,000,004E,DFAC,008,1000,023,DFAC
04F,0100,050,0100,04F,0100,000,004F,DFAC,008,1000
